tweet_id,username,name,creation_date,text,location
1698390906460643512,CanHealthwatch,Canada Healthwatch 🍁,Sun Sep 03 17:42:01 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order

https://t.co/YBz0l5DVlX

The most important health news, in one place, at 🍁 https://t.co/4PY2eoLhhe https://t.co/5K4UAJPr40",Canada
1698130447396749318,globeandmail,The Globe and Mail,Sun Sep 03 00:27:03 +0000 2023,NWT officials say Yellowknife residents can start planning for lifting of wildfire evacuation orders https://t.co/5kDlPqyIgt,Canada
1698362373692694551,CabinRadio,Cabin Radio,Sun Sep 03 15:48:38 +0000 2023,"""We can't get any food in."" Officials in Wekweètì and Gamètì described the supply breakdown with Yellowknife empty – and one queried the capital's evacuation.
https://t.co/jArEBX4al8","Yellowknife, NT"
1698335207240134661,CTVNews,CTV News,Sun Sep 03 14:00:41 +0000 2023,"Timm Bruch reports on the evacuation orders in Yellowknife being lifted, allowing residents to return to their homes. WATCH HERE: https://t.co/JlVZ6ykij8 https://t.co/rxXgIlwn5U",
1698363863157366972,adalineleila011,Adaline Leila,Sun Sep 03 15:54:33 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order
https://t.co/jJZTE5Puoq",
1698363864671519081,saraalice456,Sarah Alice,Sun Sep 03 15:54:34 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order
https://t.co/nV4Uf32Lyw",
1698140129183907957,VillageReportca,VillageReport,Sun Sep 03 01:05:31 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/USg1G5kp8y,
1698450285041959141,edmontonjournal,Edmonton Journal,Sun Sep 03 21:37:58 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/btC1nQwq2G,"Edmonton, Alberta, Canada"
1698417357696499858,timthurley,Tim Thurley,Sun Sep 03 19:27:07 +0000 2023,"Not saying they'll *never* make sense, and indeed I hope they will, but the Yellowknife evacuation would not have been possible with current EVs.","Northwest Territories, Canada"
1698418598077935808,Stettlernews,Stettler Independent,Sun Sep 03 19:32:03 +0000 2023,N.W.T. officials set to share details about lifting of Yellowknife evacuation order https://t.co/WTaKzivL8O,Stettler
1698227712756965596,AbigailMCND,Abigail Mercer,Sun Sep 03 06:53:32 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order #CDNNews #CDNNews #Canada #Canadian [Video] Only essential workers who have been contacted are being allowed back now, and everyone else is being told to stay where they… https://t.co/B1UXDpUzLH",Calgary
1698227713096765949,HandlerCND,Melina Handler,Sun Sep 03 06:53:33 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order #CDNNews #CDNNews #Canada #Canadian [Video] Only essential workers who have been contacted are being allowed back now, and everyone else is being told to stay where they… https://t.co/cBpeXAUsVX",
1698127694536278097,johnndavis,John N. Davis,Sun Sep 03 00:16:06 +0000 2023,20230902: Sissi De Flaviis: N.W.T. officials to share details about lifting of Yellowknife evacuation order,Toronto
1698227712899657781,SamuelsCND,Sarah Samuels,Sun Sep 03 06:53:32 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order #CDNNews #CDNNews #Canada #Canadian [Video] Only essential workers who have been contacted are being allowed back now, and everyone else is being told to stay where they… https://t.co/VTtgrHOpAf",
